iter	RMSE
0	410974.9446
1	396996.2245
2	382998.9258
3	371137.034
4	358842.9498
5	346852.6452
6	335576.8377
7	325911.6775
8	316344.339
9	306548.7073
10	297228.1679
11	288829.7332
12	280644.0562
13	272346.0409
14	264962.7118
15	258102.0812
16	251097.139
17	244818.0663
18	238524.2964
19	232700.96
20	227609.413
21	222380.4016
22	217375.3812
23	212300.5393
24	207179.1869
25	202296.1568
26	198641.0623
27	194531.2276
28	190885.0077
29	187464.9096
30	183381.623
31	180272.5803
32	177085.7083
33	173729.732
34	170854.4553
35	168224.1672
36	165679.188
37	163049.9809
38	161065.0171
39	158722.1037
40	156595.646
41	154599.745
42	152599.4473
43	150767.7704
44	148909.7248
45	147209.3905
46	145486.2478
47	143934.6477
48	142508.3897
49	141144.1127
50	139822.9152
51	138740.3134
52	137733.5766
53	136651.8393
54	135654.1571
55	134600.3087
56	133636.1537
57	132695.5674
58	131930.3214
59	131129.9736
60	130098.8875
61	129425.2975
62	128619.3996
63	127938.0122
64	127392.6087
65	126772.8099
66	126248.9416
67	125610.3513
68	124956.8854
69	124374.4065
70	123787.6167
71	123383.0019
72	122921.9363
73	122354.2581
74	121830.5087
75	121361.4201
76	120935.0127
77	120554.2214
78	120112.3489
79	119749.2179
80	119369.4298
81	118943.8698
82	118675.956
83	118332.9672
84	117910.0421
85	117649.5248
86	117431.1323
87	117222.1597
88	116868.1194
89	116595.5883
90	116319.8142
91	116065.3908
92	115792.8027
93	115461.6881
94	115162.467
95	114937.897
96	114713.3302
97	114478.517
98	114322.6918
99	114158.0767
100	113999.1265
101	113845.1883
102	113706.5893
103	113551.7232
104	113322.9005
105	113105.4865
106	112845.9975
107	112720.4571
108	112552.506
109	112428.3054
110	112223.1268
111	112001.2809
112	111909.892
113	111752.202
114	111618.6022
115	111468.9668
116	111373.8121
117	111111.2222
118	110991.7451
119	110866.5322
120	110753.3972
121	110608.4839
122	110432.8227
123	110298.7047
124	110012.0475
125	109868.2399
126	109708.3285
127	109570.8797
128	109427.0885
129	109274.7431
130	109119.0114
131	108915.049
132	108727.1971
133	108538.1978
134	108390.778
135	108240.2392
136	108103.8517
137	107929.8277
138	107818.7859
139	107689.9104
140	107539.8908
141	107457.031
142	107354.1429
143	107277.7994
144	107096.5068
145	106914.8273
146	106780.3172
147	106596.0965
148	106461.4964
149	106334.8665
150	106122.496
151	105978.6117
152	105816.9592
153	105682.1308
154	105560.242
155	105422.5166
156	105317.8536
157	105175.4892
158	105143.3253
159	105027.5023
160	104952.4453
161	104833.3017
162	104605.2395
163	104466.3859
164	104405.3699
165	104322.9179
166	104210.7013
167	104067.4221
168	103994.1659
169	103921.3271
170	103796.6402
171	103675.5613
172	103542.034
173	103463.7276
174	103396.9579
175	103310.2016
176	103182.2568
177	103029.4559
178	102960.2034
179	102777.5166
180	102584.3083
181	102499.9479
182	102416.9931
183	102185.2953
184	101955.4803
185	101896.3804
186	101740.079
187	101594.5619
188	101471.3778
189	101371.4692
190	101222.3156
191	101092.8254
192	100995.3167
193	100870.0348
194	100776.9777
195	100687.4457
196	100582.5502
197	100414.4535
198	100309.4
199	100042.0797
200	99917.77741
201	99830.89694
202	99707.75901
203	99535.01375
204	99458.54347
205	99315.80988
206	99229.3426
207	99174.42625
208	99091.00102
209	99003.26641
210	98904.27536
211	98830.61424
212	98716.71984
213	98582.39111
214	98380.16912
215	98180.32035
216	98072.35156
217	97909.28935
218	97850.96086
219	97661.64334
220	97540.31903
221	97448.42275
222	97358.9767
223	97256.08005
224	97067.76761
225	96945.93599
226	96778.33702
227	96672.10801
228	96507.67293
229	96378.87391
230	96206.06998
231	96078.69555
232	95944.90327
233	95829.93986
234	95660.79332
235	95605.88482
236	95475.65501
237	95336.3822
238	95203.58594
239	95118.76246
240	95026.95851
241	94908.63032
242	94715.65602
243	94552.925
244	94483.29726
245	94437.78122
246	94318.93612
247	94172.66076
248	94121.56205
249	93987.10713
250	93871.92741
251	93803.39746
252	93794.09117
253	93682.48573
254	93595.09422
255	93430.20023
256	93339.19859
257	93175.32453
258	93058.67339
259	93037.71143
260	92909.36383
261	92845.85023
262	92728.18557
263	92590.44176
264	92468.99991
265	92345.94047
266	92247.83087
267	92143.05468
268	92077.03788
269	91910.54755
270	91842.47992
271	91740.97799
272	91697.60463
273	91615.77874
274	91488.30784
275	91321.21371
276	91203.94237
277	91155.50544
278	91036.07549
279	90942.78454
280	90819.90942
281	90683.942
282	90598.26709
283	90501.33742
284	90445.76395
285	90384.25703
286	90287.89501
287	90205.82014
288	90120.48812
289	89972.20759
290	89861.77161
291	89830.80183
292	89742.70038
293	89608.12499
294	89493.22317
295	89394.47542
296	89282.5725
297	89263.05509
298	89124.72681
299	89058.37008
300	88976.81895
301	88873.93567
302	88757.65865
303	88631.67679
304	88576.38127
305	88451.65526
306	88344.66122
307	88223.81841
308	88172.87281
309	88093.82268
310	88002.53099
311	87899.26663
312	87792.25101
313	87745.37414
314	87654.14912
315	87542.56502
316	87495.67869
317	87434.3789
318	87327.2656
319	87206.49027
320	87107.53568
321	86972.9407
322	86855.78147
323	86771.21267
324	86623.37348
325	86529.72003
326	86488.18306
327	86391.1402
328	86298.54701
329	86268.66674
330	86161.30307
331	86065.86443
332	86004.07653
333	85922.60575
334	85873.47093
335	85748.67762
336	85657.69497
337	85608.40462
338	85536.97963
339	85476.60578
340	85424.31457
341	85383.29014
342	85378.14314
343	85256.74944
344	85173.13381
345	85118.02128
346	84975.35584
347	84915.44461
348	84845.40985
349	84752.52743
350	84700.7862
351	84644.03221
352	84598.14009
353	84577.53326
354	84524.61047
355	84481.45623
356	84369.17947
357	84318.22127
358	84240.40934
359	84150.61835
360	84063.3201
361	83894.33569
362	83833.58906
363	83775.49812
364	83747.27176
365	83650.36363
366	83515.37417
367	83421.41411
368	83313.01324
369	83232.54327
370	83128.80213
371	83045.3072
372	82929.15715
373	82824.11699
374	82685.62444
375	82613.92412
376	82527.94483
377	82443.37583
378	82361.33133
379	82332.28366
380	82207.80911
381	82205.27938
382	82095.87302
383	82093.57342
384	82003.79745
385	81935.6378
386	81901.79855
387	81837.84807
388	81764.80082
389	81711.88251
390	81553.17269
391	81473.11544
392	81375.71819
393	81292.4476
394	81193.77656
395	81189.11372
396	81106.35945
397	80979.96735
398	80875.50621
399	80839.55238
400	80806.638
401	80712.0815
402	80709.93031
403	80590.74171
404	80488.48305
405	80415.00846
406	80341.11598
407	80254.17996
408	80161.61311
409	80080.95871
410	80016.80394
411	79886.5863
412	79818.46704
413	79708.43894
414	79664.76303
415	79584.93096
416	79544.32642
417	79435.27152
418	79338.68167
419	79266.88866
420	79196.22475
421	79164.23326
422	79118.45631
423	79091.31846
424	79004.33336
425	78988.47084
426	78922.34176
427	78762.34171
428	78706.76684
429	78693.8811
430	78591.68585
431	78504.60775
432	78426.86774
433	78350.32684
434	78238.86467
435	78151.26272
436	78061.70573
437	77999.24943
438	77873.66059
439	77731.00116
440	77653.42402
441	77619.05768
442	77495.23135
443	77408.03753
444	77335.84563
445	77300.58728
446	77237.68246
447	77171.32657
448	77115.66435
449	77036.16573
450	76929.13041
451	76848.8222
452	76791.14617
453	76742.38064
454	76674.91931
455	76572.20456
456	76442.17103
457	76346.62528
458	76252.75828
459	76202.66564
460	76123.1404
461	76009.44799
462	75958.06756
463	75899.02177
464	75826.74106
465	75786.37813
466	75721.57295
467	75699.97555
468	75633.2016
469	75593.88583
470	75523.9215
471	75476.5655
472	75421.17676
473	75336.0361
474	75290.01633
475	75216.19643
476	75146.99823
477	75076.38071
478	74970.70176
479	74892.03746
480	74829.27834
481	74792.7755
482	74765.66205
483	74730.13327
484	74669.08377
485	74599.14504
486	74500.18188
487	74407.07414
488	74375.19547
489	74262.46942
490	74233.01688
491	74126.19201
492	74028.09836
493	73984.70108
494	73936.49605
495	73884.3877
496	73853.17431
497	73814.95578
498	73779.40748
499	73756.30764
500	73693.45785
501	73659.33146
502	73614.07458
503	73558.46073
504	73465.28615
505	73413.50361
506	73334.65479
507	73275.40551
508	73208.23389
509	73176.06828
510	73130.36605
511	73062.59444
512	72944.40923
513	72904.04928
514	72789.35794
515	72689.79865
516	72609.16139
517	72558.17839
518	72506.44075
519	72459.78266
520	72385.6992
521	72310.86914
522	72174.07721
523	72095.1414
524	71993.02407
525	71909.88232
526	71833.13973
527	71771.92772
528	71745.42975
529	71703.46857
530	71677.6508
531	71604.72118
532	71511.06589
533	71449.43107
534	71396.33115
535	71354.35323
536	71286.61534
537	71180.3879
538	71138.13601
539	71049.81596
540	70940.06485
541	70871.65686
542	70811.71602
543	70731.5993
544	70694.74021
545	70630.02661
546	70607.57825
547	70568.85581
548	70523.40353
549	70467.68129
550	70409.61193
551	70329.2431
552	70280.16418
553	70205.14734
554	70093.80171
555	70059.81856
556	70002.42525
557	69966.23625
558	69931.47351
559	69867.93111
560	69836.19337
561	69767.96937
562	69692.43128
563	69670.46943
564	69617.01664
565	69557.27279
566	69478.33182
567	69436.40193
568	69399.52748
569	69371.3397
570	69338.80706
571	69282.88536
572	69230.53801
573	69135.9319
574	69059.68014
575	69028.40137
576	69005.35597
577	68921.7352
578	68848.43217
579	68783.03088
580	68760.25865
581	68656.04434
582	68599.48878
583	68506.24806
584	68438.88108
585	68327.58969
586	68244.8323
587	68199.1722
588	68148.99267
589	68073.52875
590	67997.62318
591	67929.54688
592	67837.63704
593	67755.45344
594	67703.94641
595	67682.4961
596	67604.93279
597	67558.71852
598	67481.74266
599	67452.66648
600	67410.26064
601	67378.26844
602	67362.50764
603	67304.46652
604	67302.10751
605	67253.57221
606	67222.33664
607	67126.71218
608	67124.23282
609	67093.63271
610	67039.04565
611	66955.77191
612	66916.07774
613	66794.80166
614	66761.90128
615	66730.21198
616	66654.03937
617	66587.79898
618	66537.69803
619	66495.51872
620	66431.32333
621	66375.78995
622	66343.36424
623	66292.88495
624	66245.73302
625	66205.82495
626	66146.12237
627	66126.45097
628	66071.68329
629	66043.3306
630	65984.71266
631	65936.69176
632	65869.992
633	65850.33433
634	65818.4943
635	65743.68354
636	65727.31406
637	65725.10794
638	65698.27603
639	65648.71661
640	65615.2403
641	65604.61145
642	65591.31675
643	65578.22774
644	65552.85393
645	65490.83126
646	65409.15177
647	65341.55606
648	65291.9703
649	65214.34441
650	65152.11869
651	65122.56374
652	65071.34366
653	65041.62352
654	65012.62046
655	64999.31107
656	64942.14766
657	64929.67521
658	64887.50267
659	64859.45603
660	64806.85134
661	64742.47818
662	64708.89601
663	64672.4482
664	64625.7361
665	64576.33233
666	64508.31402
667	64492.44077
668	64436.46679
669	64366.71655
670	64323.69122
671	64258.06235
672	64243.493
673	64203.42098
674	64200.16076
675	64157.88955
676	64116.61008
677	64048.39207
678	64045.43806
679	63997.52352
680	63933.36595
681	63869.28693
682	63823.27416
683	63802.37981
684	63712.49419
685	63660.87073
686	63619.50973
687	63586.52603
688	63531.74348
689	63484.35724
690	63447.10472
691	63430.30252
692	63373.31057
693	63306.85942
694	63240.09318
695	63209.86251
696	63135.09788
697	63107.70316
698	63088.09629
699	63031.3038
700	62995.59907
701	62949.41991
702	62877.6138
703	62853.2059
704	62770.08245
705	62719.17844
706	62689.43432
707	62648.5302
708	62581.22028
709	62532.46002
710	62475.93113
711	62433.06172
712	62365.57387
713	62362.96902
714	62310.7514
715	62242.78637
716	62195.0764
717	62192.28242
718	62171.32593
719	62130.22585
720	62061.5683
721	62006.28177
722	61954.1511
723	61934.60371
724	61910.18148
725	61872.4268
726	61792.41551
727	61758.91408
728	61704.05398
729	61667.87353
730	61596.74225
731	61544.64614
732	61483.64728
733	61432.47801
734	61385.3979
735	61343.3979
736	61275.44269
737	61240.80259
738	61212.12509
739	61158.69559
740	61105.40792
741	61043.55036
742	60995.50304
743	60956.08917
744	60908.6153
745	60876.43067
746	60845.63555
747	60768.48409
748	60753.99896
749	60751.85554
750	60711.49869
751	60660.60403
752	60603.57861
753	60576.29028
754	60533.70823
755	60495.3238
756	60458.38521
757	60398.21787
758	60374.41756
759	60322.24494
760	60266.94395
761	60251.68187
762	60191.51609
763	60127.17115
764	60108.22384
765	60090.8802
766	60033.38657
767	59999.41296
768	59992.2283
769	59959.39227
770	59889.70116
771	59813.39019
772	59777.70227
773	59725.26777
774	59686.48273
775	59649.33637
776	59592.66238
777	59534.36074
778	59519.49905
779	59485.65788
780	59455.03451
781	59367.06765
782	59317.49466
783	59261.89168
784	59212.13542
785	59204.62302
786	59157.66595
787	59123.44614
788	59073.2363
789	59058.44709
790	58995.24293
791	58943.67928
792	58902.03203
793	58867.20939
794	58824.99638
795	58767.37749
796	58728.95336
797	58721.82082
798	58673.92659
799	58630.84222
800	58586.44128
801	58543.7541
802	58499.74535
803	58462.37642
804	58406.81398
805	58332.7812
806	58301.11458
807	58253.20842
808	58230.24754
809	58176.01199
810	58126.82302
811	58124.22779
812	58092.40968
813	58090.09636
814	58038.54636
815	57978.91181
816	57947.3349
817	57944.45656
818	57906.97906
819	57865.26538
820	57796.0465
821	57770.05203
822	57728.38439
823	57688.80237
824	57665.01103
825	57636.61936
826	57589.33747
827	57547.21743
828	57508.71711
829	57486.48479
830	57428.34326
831	57380.92345
832	57332.38698
833	57281.77557
834	57255.13232
835	57236.33855
836	57199.29447
837	57152.18862
838	57149.69885
839	57100.62529
840	57098.29165
841	57011.90446
842	56991.72013
843	56944.87324
844	56887.23778
845	56838.0145
846	56798.89144
847	56751.72659
848	56728.27195
849	56675.71637
850	56644.90334
851	56604.62947
852	56555.34646
853	56523.22927
854	56504.07479
855	56461.53489
856	56436.43201
857	56412.49017
858	56410.31529
859	56370.58252
860	56331.4244
861	56298.24211
862	56261.40035
863	56218.45967
864	56216.52001
865	56167.11547
866	56146.2925
867	56107.54719
868	56062.66962
869	56010.27519
870	55961.88501
871	55932.06056
872	55898.60443
873	55881.98076
874	55835.84639
875	55798.53026
876	55751.38541
877	55720.30726
878	55681.66187
879	55645.54348
880	55618.24651
881	55568.35557
882	55558.69638
883	55540.41023
884	55495.98933
885	55425.864
886	55397.43313
887	55333.28893
888	55330.78535
889	55303.52409
890	55273.25994
891	55249.02071
892	55190.52795
893	55171.01501
894	55169.74285
895	55142.08735
896	55104.59375
897	55064.12303
898	55001.74547
899	54950.57041
900	54928.47542
901	54899.02388
902	54857.65074
903	54817.71739
904	54790.39578
905	54759.01139
906	54715.34166
907	54682.94163
908	54642.23909
909	54605.56427
910	54564.42937
911	54520.29989
912	54490.076
913	54468.69194
914	54466.78278
915	54459.57506
916	54408.33761
917	54366.84442
918	54300.16464
919	54260.41409
920	54228.95211
921	54206.57301
922	54138.21953
923	54083.19222
924	54039.6469
925	54022.87482
926	53994.10707
927	53984.9074
928	53941.955
929	53892.13898
930	53838.15206
931	53815.4357
932	53749.98937
933	53709.42817
934	53706.98751
935	53676.61164
936	53633.22011
937	53584.43322
938	53541.46749
939	53507.11585
940	53469.87182
941	53461.90182
942	53422.01362
943	53381.8324
944	53347.65167
945	53309.03767
946	53291.07153
947	53263.48591
948	53216.87191
949	53199.04792
950	53186.64708
951	53138.68441
952	53087.17074
953	53069.54904
954	53055.87231
955	52993.5622
956	52959.12872
957	52942.62113
958	52865.14423
959	52826.93259
960	52778.90239
961	52745.26134
962	52719.94293
963	52701.25219
964	52662.10566
965	52644.63871
966	52611.1651
967	52609.95828
968	52605.01331
969	52582.44469
970	52562.34225
971	52522.38517
972	52501.50885
973	52476.20028
974	52418.89887
975	52412.51975
976	52403.69383
977	52372.63974
978	52313.63817
979	52285.67711
980	52282.92139
981	52254.11035
982	52215.87183
983	52165.58875
984	52133.81903
985	52082.68211
986	52058.78533
987	52012.63627
988	51974.19357
989	51914.08155
990	51859.27805
991	51849.65163
992	51812.76234
993	51785.6048
994	51753.41648
995	51699.64203
996	51671.94721
997	51670.34834
998	51649.07504
999	51610.5782
