iter	Passed	Remaining
0	82	82867
1	87	43546
2	94	31369
3	98	24522
4	103	20639
5	113	18744
6	117	16636
7	122	15156
8	126	13882
9	130	12872
10	135	12156
11	140	11605
12	145	11026
13	154	10873
14	159	10448
15	164	10097
16	170	9846
17	174	9527
18	179	9261
19	184	9033
20	191	8908
21	196	8744
22	202	8608
23	216	8816
24	225	8801
25	232	8707
26	238	8591
27	245	8532
28	253	8472
29	258	8344
30	264	8252
31	268	8132
32	275	8063
33	282	8029
34	288	7956
35	296	7931
36	303	7891
37	311	7897
38	318	7840
39	324	7785
40	329	7702
41	334	7632
42	343	7655
43	350	7608
44	354	7521
45	359	7457
46	363	7364
47	368	7305
48	372	7228
49	376	7150
50	380	7081
51	384	7017
52	388	6943
53	392	6872
54	397	6824
55	402	6792
56	408	6756
57	416	6765
58	420	6704
59	424	6644
60	429	6616
61	433	6557
62	437	6506
63	443	6481
64	447	6434
65	450	6382
66	457	6368
67	461	6330
68	466	6294
69	473	6291
70	477	6247
71	481	6201
72	485	6160
73	489	6126
74	493	6086
75	497	6050
76	502	6023
77	506	5982
78	509	5943
79	513	5908
80	518	5887
81	522	5853
82	531	5870
83	535	5844
84	541	5832
85	546	5812
86	550	5782
87	554	5750
88	558	5718
89	563	5701
90	567	5667
91	574	5674
92	580	5657
93	584	5630
94	587	5601
95	592	5580
96	596	5554
97	600	5528
98	604	5499
99	609	5481
100	612	5454
101	616	5426
102	620	5401
103	625	5389
104	629	5365
105	633	5342
106	638	5325
107	642	5303
108	646	5281
109	650	5260
110	656	5255
111	660	5238
112	664	5214
113	668	5197
114	672	5173
115	675	5148
116	678	5122
117	683	5107
118	686	5082
119	689	5058
120	692	5032
121	697	5018
122	700	4993
123	703	4970
124	706	4946
125	710	4926
126	714	4908
127	717	4887
128	720	4866
129	724	4848
130	728	4834
131	731	4813
132	735	4793
133	738	4774
134	742	4759
135	745	4738
136	749	4719
137	753	4705
138	757	4692
139	761	4675
140	764	4658
141	768	4642
142	772	4630
143	776	4616
144	781	4606
145	786	4600
146	789	4583
147	793	4565
148	796	4547
149	799	4530
150	803	4515
151	806	4501
152	811	4490
153	814	4474
154	817	4458
155	821	4444
156	824	4428
157	828	4414
158	831	4398
159	834	4382
160	838	4368
161	841	4352
162	844	4337
163	848	4323
164	852	4311
165	855	4299
166	859	4285
167	863	4274
168	866	4260
169	869	4246
170	872	4232
171	876	4218
172	879	4205
173	883	4191
174	886	4177
175	889	4162
176	892	4151
177	896	4137
178	899	4124
179	902	4111
180	907	4104
181	910	4092
182	913	4080
183	917	4068
184	921	4059
185	924	4046
186	928	4034
187	931	4022
188	935	4012
189	938	4002
190	942	3991
191	945	3979
192	949	3968
193	952	3956
194	955	3946
195	959	3934
196	962	3924
197	966	3913
198	969	3901
199	972	3890
200	977	3883
201	980	3873
202	983	3862
203	986	3851
204	990	3841
205	994	3831
206	997	3822
207	1001	3812
208	1005	3805
209	1008	3795
210	1012	3784
211	1015	3774
212	1019	3765
213	1022	3755
214	1025	3745
215	1029	3735
216	1033	3728
217	1036	3718
218	1040	3709
219	1043	3700
220	1047	3691
221	1050	3682
222	1054	3672
223	1057	3662
224	1060	3653
225	1063	3643
226	1067	3633
227	1070	3624
228	1074	3616
229	1077	3607
230	1080	3598
231	1084	3589
232	1089	3586
233	1093	3578
234	1096	3568
235	1099	3557
236	1102	3549
237	1105	3540
238	1109	3532
239	1112	3523
240	1116	3516
241	1120	3509
242	1123	3501
243	1127	3492
244	1130	3483
245	1133	3474
246	1136	3465
247	1140	3456
248	1143	3449
249	1147	3443
250	1152	3438
251	1155	3430
252	1158	3421
253	1162	3412
254	1165	3404
255	1168	3396
256	1172	3389
257	1175	3382
258	1179	3373
259	1182	3365
260	1186	3358
261	1189	3349
262	1192	3341
263	1195	3334
264	1199	3326
265	1202	3319
266	1206	3311
267	1209	3304
268	1213	3298
269	1217	3292
270	1221	3285
271	1224	3278
272	1228	3270
273	1231	3262
274	1234	3254
275	1237	3246
276	1240	3238
277	1243	3230
278	1247	3223
279	1250	3215
280	1254	3209
281	1258	3203
282	1261	3196
283	1264	3188
284	1267	3180
285	1271	3175
286	1274	3167
287	1278	3160
288	1281	3153
289	1285	3146
290	1288	3139
291	1291	3131
292	1294	3124
293	1298	3117
294	1301	3110
295	1304	3103
296	1308	3096
297	1312	3092
298	1316	3086
299	1319	3079
300	1323	3072
301	1327	3068
302	1330	3061
303	1333	3053
304	1336	3046
305	1340	3040
306	1343	3033
307	1347	3026
308	1350	3020
309	1354	3013
310	1357	3007
311	1360	3000
312	1364	2994
313	1367	2987
314	1370	2981
315	1374	2974
316	1377	2967
317	1380	2961
318	1384	2956
319	1388	2951
320	1392	2945
321	1396	2939
322	1399	2933
323	1403	2927
324	1406	2921
