iter	RMSE
0	0.9323868895
1	0.8609908935
2	0.8011086642
3	0.743077161
4	0.6899612077
5	0.6403243124
6	0.5976573075
7	0.5616723243
8	0.5274654964
9	0.4967868825
10	0.4693677504
11	0.4448908435
12	0.4211212775
13	0.4015928694
14	0.385078843
15	0.3703371036
16	0.3564410392
17	0.3425860282
18	0.3314474197
19	0.3210778292
20	0.3118760591
21	0.3043906793
22	0.2968585491
23	0.2905397261
24	0.2851836601
25	0.2809300535
26	0.2766411059
27	0.271655835
28	0.2679420552
29	0.2643606745
30	0.2614014135
31	0.2587909548
32	0.2565569243
33	0.2539532217
34	0.2520781087
35	0.2500553021
36	0.2479628851
37	0.2453224079
38	0.2436462022
39	0.2420201417
40	0.2407706912
41	0.2395704418
42	0.2384231069
43	0.2366761825
44	0.2353662158
45	0.2347700731
46	0.2337517085
47	0.2322516832
48	0.2310616814
49	0.2300625556
50	0.2287717755
51	0.2278820549
52	0.227469571
53	0.2263353993
54	0.2251440364
55	0.2246166552
56	0.2236589673
57	0.2222920371
58	0.2210236593
59	0.2203071662
60	0.2197535211
61	0.2193523676
62	0.218698302
63	0.2179643428
64	0.217198432
65	0.2166675835
66	0.2160299257
67	0.2154266349
68	0.2151789097
69	0.214604866
70	0.2142513723
71	0.2130071212
72	0.2125470523
73	0.2122636899
74	0.2118628773
75	0.2113550564
76	0.2106662007
77	0.2103331834
78	0.2097562403
79	0.2090264904
80	0.208676416
81	0.2077420329
82	0.2070819671
83	0.2064799969
84	0.2062099671
85	0.2058802937
86	0.2052777333
87	0.204761575
88	0.2041418194
89	0.2033408433
90	0.2020477647
91	0.2014866038
92	0.2012968804
93	0.2002284368
94	0.1999124178
95	0.1986682754
96	0.1985025069
97	0.1978759936
98	0.19664618
99	0.1957432944
100	0.1949008456
101	0.1943353322
102	0.1933648679
103	0.1929257795
104	0.1920393082
105	0.1913630444
106	0.1911885402
107	0.1910026398
108	0.1905374816
109	0.1901133628
110	0.1891509877
111	0.1887795199
112	0.1883466573
113	0.1878828287
114	0.1874452068
115	0.1866466298
116	0.1861876735
117	0.1856004423
118	0.1847413991
119	0.1843919675
120	0.1838761435
121	0.1836560124
122	0.183115237
123	0.1827609669
124	0.1826549483
125	0.182050397
126	0.1815676862
127	0.1812812217
128	0.1803976829
129	0.1797962128
130	0.178978149
131	0.1785393391
132	0.1782477301
133	0.1781153234
134	0.1777323672
135	0.1771086872
136	0.1769501686
137	0.1766039287
138	0.1761247897
139	0.1757856455
140	0.1753884319
141	0.1752252152
142	0.1746288583
143	0.1741056426
144	0.1735869687
145	0.1729339545
146	0.1726880069
147	0.1723158597
148	0.172084125
149	0.171333754
150	0.170517117
151	0.1698268917
152	0.1693660762
153	0.1689521749
154	0.1686447543
155	0.1678343419
156	0.1669719543
157	0.1668695859
158	0.1666696827
159	0.1660858515
160	0.1655732142
161	0.1651794244
162	0.1650945688
163	0.1647537813
164	0.1643870437
165	0.1642820961
166	0.1638561036
167	0.1630254046
168	0.1627555056
169	0.1621568384
170	0.161442299
171	0.1609877835
172	0.160663192
173	0.1605320715
174	0.1601506044
175	0.1596108377
176	0.1588514462
177	0.1580323733
178	0.1572613891
179	0.1570471724
180	0.156579952
181	0.1559641204
182	0.1557449014
183	0.1551728192
184	0.1548334629
185	0.1545544392
186	0.154292358
187	0.1541815269
188	0.1536633851
189	0.153567872
190	0.1532943241
191	0.1528088682
192	0.1525091993
193	0.1523769459
194	0.1518810965
195	0.1517763112
196	0.1513680718
197	0.150822589
198	0.1502778815
199	0.1500004249
200	0.1494273536
201	0.1490810589
202	0.1489810111
203	0.1487793734
204	0.148525152
205	0.1479521469
206	0.1477211941
207	0.1473526756
208	0.1469482335
209	0.1467405139
210	0.1463961378
211	0.1461028572
212	0.145812437
213	0.1453164313
214	0.1450996645
215	0.1444829262
216	0.1444061133
217	0.144099944
218	0.1438249568
219	0.1434111641
220	0.143079265
221	0.1429921031
222	0.1424812523
223	0.14195112
224	0.1414258951
225	0.1409281932
226	0.1406460792
227	0.1401466209
228	0.1397484592
229	0.139271623
230	0.1390541255
231	0.1385844081
232	0.138330361
233	0.1378401538
234	0.1376149467
235	0.1373501889
236	0.1369115544
237	0.1366175724
238	0.1364017628
239	0.1359895887
240	0.1358008285
241	0.1354474448
242	0.1349472331
243	0.1348107172
244	0.134282654
245	0.1339351356
246	0.1333983985
247	0.1331630679
248	0.1327634876
249	0.132275005
250	0.1317899809
251	0.1315717169
252	0.1312549536
253	0.1307975958
254	0.1304046996
255	0.1300757059
256	0.1298559013
257	0.1295707645
258	0.1291303377
259	0.1287936129
260	0.1283949114
261	0.1280131949
262	0.1276599382
263	0.1275023573
264	0.1273819014
265	0.1270658737
266	0.126749678
267	0.1263994416
268	0.12593567
269	0.1255467482
270	0.1254569993
271	0.1253011467
272	0.1250283623
273	0.1247021261
274	0.1244370869
275	0.1240437477
276	0.1237690256
277	0.1235081379
278	0.1231370496
279	0.1227521667
280	0.1226890217
281	0.1225379081
282	0.1224432423
283	0.1222487997
284	0.1220700388
285	0.1219025831
286	0.1215342336
287	0.1210198987
288	0.120654705
289	0.1203937123
290	0.120059683
291	0.1197644005
292	0.1196526843
293	0.1194717182
294	0.1190737728
295	0.1188325939
296	0.1185446998
297	0.1182780083
298	0.1180259764
299	0.1176215732
300	0.1175152059
301	0.1173583331
302	0.1170728434
303	0.1168834506
304	0.1167657292
305	0.1164905065
306	0.1162957734
307	0.1160833301
308	0.1159532156
309	0.1156206074
310	0.1152608448
311	0.1148850762
312	0.1145424414
313	0.1142008933
314	0.1138405294
315	0.1135543489
316	0.1132910807
317	0.1131092047
318	0.1128614883
319	0.1126131905
320	0.1123349288
321	0.1121596685
322	0.1119334976
323	0.1117185446
324	0.1115513458
325	0.1112334591
326	0.1108611511
327	0.1104898077
328	0.1103953016
329	0.1100996901
330	0.1097779477
331	0.1095957626
332	0.1091105946
333	0.1087316809
334	0.1084512334
335	0.1081642651
336	0.107877989
337	0.107804249
338	0.1075895825
339	0.1072784589
340	0.1070693383
341	0.1067641701
342	0.1067154652
343	0.1064816218
344	0.1060943739
345	0.1058273328
346	0.1056444948
347	0.1054615251
348	0.1052821963
349	0.1050250929
350	0.1047652318
351	0.104620335
352	0.1044388796
353	0.1043598684
354	0.1040082028
355	0.1037726346
356	0.1035700535
357	0.1031821041
358	0.103028933
359	0.102766771
360	0.1025414028
361	0.1023680067
362	0.1021455203
363	0.1019714284
364	0.1017202057
365	0.1016253755
366	0.101529577
367	0.1014165562
368	0.101217668
369	0.1009790911
370	0.1007785638
371	0.1006339964
372	0.1004485604
373	0.1002500708
374	0.09998954926
375	0.09972585121
376	0.09953629589
377	0.09933481179
378	0.09915198624
379	0.09894724192
380	0.09877082373
381	0.09842909949
382	0.09821140096
383	0.09787211801
384	0.09758957282
385	0.09745605176
386	0.09732027735
387	0.09707758748
388	0.0969017914
389	0.09671799449
390	0.09634254232
391	0.0963121088
392	0.09601431255
393	0.09577068759
394	0.09553351248
395	0.09527882772
396	0.09509094626
397	0.09492363301
398	0.09478142029
399	0.0945064115
400	0.09435406551
401	0.09414546779
402	0.09394342413
403	0.09370172563
404	0.09356355013
405	0.09322032738
406	0.09291350605
407	0.09266394158
408	0.09246880523
409	0.09227766917
410	0.09199287755
411	0.09175895135
412	0.09157584503
413	0.09144093352
414	0.09126487266
415	0.0911023448
416	0.09083630527
417	0.09065108774
418	0.09049738105
419	0.09037454381
420	0.09009591041
421	0.08985506859
422	0.08963939583
423	0.08946859008
424	0.08919130339
425	0.08901020301
426	0.08875932116
427	0.08859967177
428	0.08849735158
429	0.08825725983
430	0.08821092422
431	0.08808921159
432	0.08786881925
433	0.08755955615
434	0.08734245553
435	0.0870541312
436	0.08685199572
437	0.08674970145
438	0.08664272407
439	0.0864254449
440	0.08613831764
441	0.08608409909
442	0.08586663451
443	0.08566193078
444	0.08550721343
445	0.08542846343
446	0.0852585004
447	0.08511528253
448	0.08494481441
449	0.08469318353
450	0.08449109881
451	0.08429251099
452	0.08411675182
453	0.08407403322
454	0.08389449648
455	0.08364800243
456	0.08347370033
457	0.08323297594
458	0.08310409051
459	0.08290167435
460	0.08286185683
461	0.082673718
462	0.08251410348
463	0.08236229954
464	0.08226839316
465	0.08206923097
466	0.08192260434
467	0.08178852286
468	0.08170385766
469	0.08151127253
470	0.08136106254
471	0.08123834901
472	0.08098877615
473	0.08083643696
474	0.08072443585
475	0.08059249939
476	0.08039745774
477	0.08020600465
478	0.0800437827
479	0.07992604645
480	0.0798184768
481	0.07970612941
482	0.0795440849
483	0.07934737799
484	0.07920594562
485	0.07909751407
486	0.07889023947
487	0.07878678962
488	0.07860195103
489	0.07833400648
490	0.07813141788
491	0.07798458649
492	0.07784622373
493	0.07783975476
494	0.07763330284
495	0.07741264862
496	0.07719497865
497	0.07704966838
498	0.07693299682
499	0.07676146521
