iter	Passed	Remaining
0	16	8300
1	30	7478
2	43	7125
3	61	7633
4	83	8261
5	99	8200
6	121	8560
7	129	7967
8	140	7662
9	148	7270
10	157	7005
11	168	6864
12	176	6603
13	188	6533
14	197	6401
15	205	6216
16	219	6225
17	231	6194
18	240	6095
19	251	6042
20	263	6003
21	270	5883
22	280	5809
23	288	5715
24	299	5698
25	312	5689
26	328	5760
27	337	5684
28	350	5692
29	361	5665
30	369	5583
31	379	5555
32	388	5502
33	396	5430
34	411	5473
35	424	5469
36	433	5426
37	445	5419
38	472	5584
39	482	5546
40	494	5533
41	505	5516
42	513	5457
43	525	5446
44	537	5435
45	545	5381
46	563	5433
47	573	5403
48	583	5370
49	590	5317
50	602	5303
51	613	5283
52	622	5246
53	633	5230
54	645	5223
55	653	5179
56	662	5150
57	670	5110
58	680	5087
59	688	5052
60	697	5022
61	708	5006
62	717	4973
63	729	4971
64	740	4958
65	749	4930
66	761	4921
67	770	4894
68	779	4867
69	790	4854
70	797	4821
71	811	4825
72	825	4826
73	836	4814
74	845	4791
75	855	4771
76	865	4756
77	873	4727
78	884	4715
79	892	4684
80	905	4681
81	917	4678
82	947	4759
83	971	4813
84	986	4814
85	1000	4815
86	1013	4813
87	1029	4818
88	1049	4845
89	1062	4839
90	1071	4815
91	1081	4795
92	1092	4781
93	1105	4774
94	1114	4750
95	1125	4737
96	1136	4720
97	1145	4697
98	1155	4680
99	1163	4653
100	1175	4645
101	1187	4634
102	1195	4606
103	1206	4595
104	1217	4581
105	1225	4553
106	1242	4563
107	1259	4571
108	1301	4669
109	1339	4750
110	1373	4814
111	1432	4963
112	1466	5021
113	1491	5049
114	1513	5067
115	1545	5115
116	1563	5118
117	1591	5152
118	1627	5210
119	1649	5222
120	1673	5242
121	1691	5241
122	1706	5229
123	1716	5206
124	1726	5179
125	1738	5160
126	1755	5156
127	1787	5194
128	1805	5192
129	1819	5177
130	1832	5162
131	1842	5137
132	1855	5119
133	1882	5140
134	1891	5113
135	1928	5161
136	1937	5133
137	1950	5115
138	1962	5096
139	1973	5074
140	1986	5057
141	1998	5039
142	2016	5034
143	2028	5015
144	2041	4998
145	2051	4974
146	2062	4951
147	2078	4942
148	2090	4924
149	2105	4913
150	2116	4891
151	2125	4866
152	2137	4846
153	2146	4823
154	2157	4801
155	2171	4789
156	2185	4774
157	2196	4755
158	2207	4734
159	2219	4716
160	2235	4706
161	2253	4701
162	2267	4687
163	2279	4670
164	2296	4663
165	2307	4643
166	2316	4619
167	2330	4605
168	2343	4590
169	2356	4574
170	2373	4567
171	2401	4578
172	2421	4576
173	2430	4553
174	2443	4537
175	2456	4522
176	2469	4506
177	2495	4514
178	2508	4498
179	2519	4479
180	2532	4464
181	2542	4441
182	2554	4425
183	2569	4412
184	2580	4393
185	2587	4368
186	2597	4347
187	2605	4324
188	2617	4307
189	2627	4286
190	2635	4263
191	2646	4245
192	2654	4222
193	2665	4203
194	2677	4188
195	2686	4167
196	2695	4146
197	2703	4123
198	2711	4101
199	2725	4087
200	2739	4074
201	2747	4053
202	2758	4035
203	2767	4015
204	2776	3995
205	2786	3976
