state_name,city_code,city_name
CH,1,"CHANDIGARH, CH"
CG,4,"RAIPUR, CG"
CG,5,"DHAMTARI, CG"
CG,6,"MAHASAMUND, CG"
CG,7,"DURG, CG"
CG,8,"RAJNANDGAON, CG"
CG,9,"KABIRDHAM, CG"
CG,10,"BILASHPUR, CG"
CG,11,"JANGIR_CHAMPA, CG"
CG,12,"KORBA, CG"
CG,13,"RAIGARH, CG"
CG,14,"JASHPUR, CG"
CG,15,"AMBIKAPUR, CG"
CG,16,"BAIKUNTHPUR, CG"
CG,17,"JAGDALPUR, CG"
CG,18,"DANTEWADA, CG"
CG,19,"KANKER, CG"
CG,22,"BALODABAZAR, CG"
CG,23,"GARIYABAND, CG"
CG,24,"BALOD, CG"
CG,25,"BEMETARA, CG"
CG,26,"SUKMA, CG"
CG,27,"KONDAGAON, CG"
CG,28,"MUNGELI, CG"
CG,29,"SURAJPUR, CG"
CG,30,"BALRAMPUR, CG"
DN,9," SILVASSA, DNH UT, DN"
DD,2,"DIU, DD"
DD,3,"DAMAN, DD"
KA,1,"KORAMANGALA, KA"
KA,2,"BANGALORE, KA"
KA,3,"BANGALORE, KA"
KA,4,"BANGALORE, KA"
KA,5,"BANGALORE, KA"
KA,6,"TUMKUR, KA"
KA,7,"KOLAR, KA"
KA,8,"CORMONDAL, KA"
KA,9,"MYSORE, KA"
KA,10,"CHAMARAJ NAGAR, KA"
KA,11,"MANDYA, KA"
KA,12,"MADEIKERI, KA"
KA,13,"HASSAN, KA"
KA,14,"SHIMOGA, KA"
KA,15,"SAGAR, KA"
KA,16,"CHITRADURGA, KA"
KA,17,"DAVANAGERE, KA"
KA,18,"CHICKMAGALUR, KA"
KA,19,"MANGALORE., KA"
KA,20,"UDUPI, KA"
KA,21,"PUTTUR, KA"
KA,22,"BELGAUM, KA"
KA,23,"CHIKKODI, KA"
KA,24,"BAILAHONGALA, KA"
KA,25,"DHARWAD, KA"
KA,26,"GADAG, KA"
KA,27,"HAVERI, KA"
KA,28,"BIJAPUR, KA"
KA,29,"BAGALKOT, KA"
KA,30,"KARWAR, KA"
KA,31,"SIRSI, KA"
KA,32,"GULBARGA, KA"
KA,33,"YADAGIRI, KA"
KA,34,"BELLARY, KA"
KA,35,"HOSPET, KA"
KA,36,"RAICHUR, KA"
KA,37,"KOPPAL, KA"
KA,38,"BIDAR, KA"
KA,39,"BHALKI, KA"
KA,40,"CHIKKABALLAPURA, KA"
KA,41,"BANGALORE, KA"
KA,42,"RAMANAGARA, KA"
KA,43,"DEVENAHALLI, KA"
KA,44,"TIPTUR, KA"
KA,45,"HUNSUR, KA"
KA,46,"SAKALESHPURA, KA"
KA,47,"HONNAVARA, KA"
KA,48,"JAMAKHANDI, KA"
KA,49,"GOKAK, KA"
KA,50,"YELAHANKA, KA"
KA,51,"CHENNAKESHAVANAGAR, KA"
KA,52,"NELAMANGALA, KA"
KA,53," K.R.PURAM, KA"
KA,54,"NAGAMANGALA, KA"
KA,55,"MYSORE, KA"
